ID,focus,focus ID,focus ID after,adj idx,det idx,before,before number,deprel,gender,dep tree size,after,after number
3978,año,15,14,-1,14,"Las pruebas ya obrantes en la causa eran contundentes como para comenzar esta indagatoria un año atrás , sin embargo la causa circuló por los pasillos judiciales mientras jueces y fiscales se la sacaban de encima . ",Sing,obl,Masc,4,"Las pruebas ya obrantes en la causa eran contundentes como para comenzar esta indagatoria años atrás , sin embargo la causa circuló por los pasillos judiciales mientras jueces y fiscales se la sacaban de encima . ",Plur
3978,embargo,19,19,-1,-1,"Las pruebas ya obrantes en la causa eran contundentes como para comenzar esta indagatoria un año atrás , sin embargo la causa circuló por los pasillos judiciales mientras jueces y fiscales se la sacaban de encima . ",Sing,fixed,Masc,2,"Las pruebas ya obrantes en la causa eran contundentes como para comenzar esta indagatoria un año atrás , sin embargos la causa circuló por los pasillos judiciales mientras jueces y fiscales se la sacaban de encima . ",Plur
3978,pasillo,25,25,26,24,"Las pruebas ya obrantes en la causa eran contundentes como para comenzar esta indagatoria un año atrás , sin embargo la causa circuló por los pasillos judiciales mientras jueces y fiscales se la sacaban de encima . ",Plur,obl,Masc,5,"Las pruebas ya obrantes en la causa eran contundentes como para comenzar esta indagatoria un año atrás , sin embargo la causa circuló por el pasillo judiciales mientras jueces y fiscales se la sacaban de encima . ",Sing
3980,coordenada,6,6,-1,5,Freemansburg se encuentra ubicado en las coordenadas . ,Plur,obl,Fem,4,Freemansburg se encuentra ubicado en la coordenada . ,Sing
3982,consecuencia,5,5,-1,-1,"C. , y tuvo como consecuencia que varias ciudades , particularmente de Caria se uniesen a la Liga de Delos . ",Sing,obl,Fem,3,"C. , y tuvo como consecuencias que varias ciudades , particularmente de Caria se uniesen a la Liga de Delos . ",Plur
3984,sólimo,9,8,-1,8,"Tras ello , Ióbates le encargó combatir a los sólimos y posteriomente contra las Amazonas , las mujeres guerreras . ",Plur,obj,Masc,4,"Tras ello , Ióbates le encargó combatir al sólimo y posteriomente contra las Amazonas , las mujeres guerreras . ",Sing
3986,manera,2,2,-1,1,"De esta manera , se convirtió en el jugador profesional más joven que debutaba en un deporte profesional estadounidense desde 1887 , superando a Joe Nuxhall , que había jugado en la MLB con 15 años en 1944 . ",Sing,obl,Fem,5,"De estas maneras , se convirtió en el jugador profesional más joven que debutaba en un deporte profesional estadounidense desde 1887 , superando a Joe Nuxhall , que había jugado en la MLB con 15 años en 1944 . ",Plur
3986,jugador,8,8,11,7,"De esta manera , se convirtió en el jugador profesional más joven que debutaba en un deporte profesional estadounidense desde 1887 , superando a Joe Nuxhall , que había jugado en la MLB con 15 años en 1944 . ",Sing,obl,Masc,16,"De esta manera , se convirtió en los jugadores profesional más joven que debutaba en un deporte profesional estadounidense desde 1887 , superando a Joe Nuxhall , que había jugado en la MLB con 15 años en 1944 . ",Plur
3986,año,35,36,-1,-1,"De esta manera , se convirtió en el jugador profesional más joven que debutaba en un deporte profesional estadounidense desde 1887 , superando a Joe Nuxhall , que había jugado en la MLB con 15 años en 1944 . ",Plur,obl,Masc,4,"De esta manera , se convirtió en el jugador profesional más joven que debutaba en un deporte profesional estadounidense desde 1887 , superando a Joe Nuxhall , que había jugado en la MLB con 15 un año en 1944 . ",Sing
3989,hamburguesa,11,10,-1,10,"En los Estados Unidos , el Croissan'Wich estándar consiste en una hamburguesa de salchicha , huevos , y queso amarillo en un cruasán . ",Sing,obl,Fem,15,"En los Estados Unidos , el Croissan'Wich estándar consiste en hamburguesas de salchicha , huevos , y queso amarillo en un cruasán . ",Plur
3995,ley,1,1,-1,0,Esta ley ha sido reformada cuatro veces siendo las mas reciente una extensión de 25 años hecha por el presidente George W. Bush en 2006 . ,Sing,nsubj:pass,Fem,3,Estas leyes ha sido reformada cuatro veces siendo las mas reciente una extensión de 25 años hecha por el presidente George W. Bush en 2006 . ,Plur
3995,vez,6,7,-1,-1,Esta ley ha sido reformada cuatro veces siendo las mas reciente una extensión de 25 años hecha por el presidente George W. Bush en 2006 . ,Plur,obl,Fem,3,Esta ley ha sido reformada cuatro una vez siendo las mas reciente una extensión de 25 años hecha por el presidente George W. Bush en 2006 . ,Sing
3999,agricultura,5,5,-1,4,"En lo que a la agricultura se refiere , y para ser más puntuales , los productores aún esperan que por alguna razón u otra se encuentre pretexto para que el precio suba y puedan vender sus mercaderías . ",Sing,obl,Fem,4,"En lo que a las agriculturas se refiere , y para ser más puntuales , los productores aún esperan que por alguna razón u otra se encuentre pretexto para que el precio suba y puedan vender sus mercaderías . ",Plur
3999,productor,16,16,-1,15,"En lo que a la agricultura se refiere , y para ser más puntuales , los productores aún esperan que por alguna razón u otra se encuentre pretexto para que el precio suba y puedan vender sus mercaderías . ",Plur,nsubj,Masc,3,"En lo que a la agricultura se refiere , y para ser más puntuales , el productor aún espera que por alguna razón u otra se encuentre pretexto para que el precio suba y puedan vender sus mercaderías . ",Sing
3999,razón,22,22,-1,21,"En lo que a la agricultura se refiere , y para ser más puntuales , los productores aún esperan que por alguna razón u otra se encuentre pretexto para que el precio suba y puedan vender sus mercaderías . ",Sing,obl,Fem,6,"En lo que a la agricultura se refiere , y para ser más puntuales , los productores aún esperan que por algunas razones u otras se encuentre pretexto para que el precio suba y puedan vender sus mercaderías . ",Plur
3999,pretexto,27,27,-1,-1,"En lo que a la agricultura se refiere , y para ser más puntuales , los productores aún esperan que por alguna razón u otra se encuentre pretexto para que el precio suba y puedan vender sus mercaderías . ",Sing,obj,Masc,12,"En lo que a la agricultura se refiere , y para ser más puntuales , los productores aún esperan que por alguna razón u otra se encuentre pretextos para que el precio suba y puedan vender sus mercaderías . ",Plur
4000,vez,5,5,-1,-1,"Marilyn Chambers apareció por primera vez en 1989 como la burbujeante novia de Lance Smart y la ama de casa de Morag Bellingham , sin embargo la relación con Lance terminó cuando este regresó a la armada . ",Sing,obl,Fem,4,"Marilyn Chambers apareció por primera veces en 1989 como la burbujeante novia de Lance Smart y la ama de casa de Morag Bellingham , sin embargo la relación con Lance terminó cuando este regresó a la armada . ",Plur
4000,embargo,25,25,-1,-1,"Marilyn Chambers apareció por primera vez en 1989 como la burbujeante novia de Lance Smart y la ama de casa de Morag Bellingham , sin embargo la relación con Lance terminó cuando este regresó a la armada . ",Sing,fixed,Masc,2,"Marilyn Chambers apareció por primera vez en 1989 como la burbujeante novia de Lance Smart y la ama de casa de Morag Bellingham , sin embargos la relación con Lance terminó cuando este regresó a la armada . ",Plur
4000,armada,36,36,-1,35,"Marilyn Chambers apareció por primera vez en 1989 como la burbujeante novia de Lance Smart y la ama de casa de Morag Bellingham , sin embargo la relación con Lance terminó cuando este regresó a la armada . ",Sing,obl,Fem,4,"Marilyn Chambers apareció por primera vez en 1989 como la burbujeante novia de Lance Smart y la ama de casa de Morag Bellingham , sin embargo la relación con Lance terminó cuando este regresó a las armadas . ",Plur
4001,final,1,2,-1,-1,"A finales de 1955 e inicios de 1956 , se creó una fábrica de bombas en el sótano de la casa de los esposos Enrique Rodríguez y Berta Cuza , en la calle Aguilera entre Santa Rita y San Gregorio , donde trabajaban Gustavo Fraga , Fabio Rosell , Juan Escardó y el propio Enrique . ",Plur,obl,Masc,10,"A un final de 1955 e inicios de 1956 , se creó una fábrica de bombas en el sótano de la casa de los esposos Enrique Rodríguez y Berta Cuza , en la calle Aguilera entre Santa Rita y San Gregorio , donde trabajaban Gustavo Fraga , Fabio Rosell , Juan Escardó y el propio Enrique . ",Sing
4001,fábrica,12,11,-1,11,"A finales de 1955 e inicios de 1956 , se creó una fábrica de bombas en el sótano de la casa de los esposos Enrique Rodríguez y Berta Cuza , en la calle Aguilera entre Santa Rita y San Gregorio , donde trabajaban Gustavo Fraga , Fabio Rosell , Juan Escardó y el propio Enrique . ",Sing,nsubj,Fem,45,"A finales de 1955 e inicios de 1956 , se crearon fábricas de bombas en el sótano de la casa de los esposos Enrique Rodríguez y Berta Cuza , en la calle Aguilera entre Santa Rita y San Gregorio , donde trabajaban Gustavo Fraga , Fabio Rosell , Juan Escardó y el propio Enrique . ",Plur
4002,año,3,3,-1,2,"Desde hace varios años venimos denunciando la grave situación de permanente retroceso diplomático , político y económico de la Argentina en Malvinas y Atlántico Sur . ",Plur,obl,Masc,3,"Desde hace varios año venimos denunciando la grave situación de permanente retroceso diplomático , político y económico de la Argentina en Malvinas y Atlántico Sur . ",Sing
4002,situación,8,8,7,6,"Desde hace varios años venimos denunciando la grave situación de permanente retroceso diplomático , político y económico de la Argentina en Malvinas y Atlántico Sur . ",Sing,obj,Fem,20,"Desde hace varios años venimos denunciando las grave situaciones de permanente retroceso diplomático , político y económico de la Argentina en Malvinas y Atlántico Sur . ",Plur
4003,portal,1,1,-1,0,"El portal es algo antiguo , pero hay guarda un jurado por las noches . ",Sing,nsubj,Masc,3,"Los portales son algo antiguos , pero hay guarda un jurado por las noches . ",Plur
4003,guardar,8,7,-1,9,"El portal es algo antiguo , pero hay guarda un jurado por las noches . ",Sing,obj,Masc,4,"El portal es algo antiguo , pero hay guardas jurado por las noches . ",Plur
4003,noche,13,13,-1,12,"El portal es algo antiguo , pero hay guarda un jurado por las noches . ",Plur,obl,Fem,4,"El portal es algo antiguo , pero hay guarda un jurado por la noche . ",Sing
4011,cuenta,3,3,-1,-1,"Mao se dio cuenta de que éste no era el caso de China , y que la revolución se debía desarrollar desde el campesinado . ",Sing,obj,Fem,22,"Mao se dio cuentas de que éste no era el caso de China , y que la revolución se debía desarrollar desde el campesinado . ",Plur
4013,año,2,2,-1,1,En los años 1636 / 1637 cundía la peste . ,Plur,obl,Masc,7,En el año 1636 / 1637 cundía la peste . ,Sing
4013,peste,8,8,-1,7,En los años 1636 / 1637 cundía la peste . ,Sing,obj,Fem,3,En los años 1636 / 1637 cundía las pestes . ,Plur
4014,corte,5,6,-1,-1,"Gracias a él , en cortes como la de Alfonso X , junto con colaboradores árabes , se pudo llevar a cabo la enorme obra de recopilación , traducción y divulgación de todo el saber humano de la época . ",Plur,obl,Masc,9,"Gracias a él , en un corte como las de Alfonso X , junto con colaboradores árabes , se pudo llevar a cabo la enorme obra de recopilación , traducción y divulgación de todo el saber humano de la época . ",Sing
4014,colaborador,14,15,15,-1,"Gracias a él , en cortes como la de Alfonso X , junto con colaboradores árabes , se pudo llevar a cabo la enorme obra de recopilación , traducción y divulgación de todo el saber humano de la época . ",Plur,obl,Masc,6,"Gracias a él , en cortes como la de Alfonso X , junto con un colaborador árabes , se pudo llevar a cabo la enorme obra de recopilación , traducción y divulgación de todo el saber humano de la época . ",Sing
4014,obra,24,24,23,22,"Gracias a él , en cortes como la de Alfonso X , junto con colaboradores árabes , se pudo llevar a cabo la enorme obra de recopilación , traducción y divulgación de todo el saber humano de la época . ",Sing,obj,Fem,18,"Gracias a él , en cortes como la de Alfonso X , junto con colaboradores árabes , se pudo llevar a cabo las enorme obras de recopilación , traducción y divulgación de todo el saber humano de la época . ",Plur
4018,instituto,1,1,-1,0,El instituto fue establecido en 1961 y ha se han graduado desde entonces más de 5 000 alumnos . ,Sing,nsubj:pass,Masc,3,Los institutos fue establecido en 1961 y ha se han graduado desde entonces más de 5 000 alumnos . ,Plur
4022,fuente,3,3,-1,2,"Aquello que las fuentes denominan Regio Edetania sería configurado a partir de ese momento , bajo una dominación romana . ",Plur,nsubj,Fem,3,"Aquello que la fuente denomina Regio Edetania sería configurado a partir de ese momento , bajo una dominación romana . ",Sing
4022,momento,13,13,-1,12,"Aquello que las fuentes denominan Regio Edetania sería configurado a partir de ese momento , bajo una dominación romana . ",Sing,obl,Masc,4,"Aquello que las fuentes denominan Regio Edetania sería configurado a partir de esos momentos , bajo una dominación romana . ",Plur
4022,dominación,17,16,18,16,"Aquello que las fuentes denominan Regio Edetania sería configurado a partir de ese momento , bajo una dominación romana . ",Sing,obl,Fem,6,"Aquello que las fuentes denominan Regio Edetania sería configurado a partir de ese momento , bajo dominaciones romanas . ",Plur
4025,macho,1,1,-1,0,Los machos pueden alcanzar los 30 cm de longitud total . ,Plur,nsubj,Masc,3,El macho pueden alcanzar los 30 cm de longitud total . ,Sing
4028,osteomalacia,2,2,-1,1,"En la osteomalacia los síntomas pueden ser inicialmente vagos y mal localizados , dificultando de esta manera su diagnóstico . ",Sing,nmod,Fem,4,"En las osteomalacias los síntomas pueden ser inicialmente vagos y mal localizados , dificultando de esta manera su diagnóstico . ",Plur
4028,síntoma,4,4,-1,3,"En la osteomalacia los síntomas pueden ser inicialmente vagos y mal localizados , dificultando de esta manera su diagnóstico . ",Plur,nsubj,Masc,3,"En la osteomalacia el síntoma pueden ser inicialmente un vago y mal localizados , dificultando de esta manera su diagnóstico . ",Sing
4028,manera,16,16,-1,15,"En la osteomalacia los síntomas pueden ser inicialmente vagos y mal localizados , dificultando de esta manera su diagnóstico . ",Sing,obl,Fem,4,"En la osteomalacia los síntomas pueden ser inicialmente vagos y mal localizados , dificultando de estas maneras su diagnóstico . ",Plur
4028,diagnóstico,18,18,-1,17,"En la osteomalacia los síntomas pueden ser inicialmente vagos y mal localizados , dificultando de esta manera su diagnóstico . ",Sing,obj,Masc,3,"En la osteomalacia los síntomas pueden ser inicialmente vagos y mal localizados , dificultando de esta manera sus diagnósticos . ",Plur
4030,forma,1,1,2,0,"La forma cúbica de las construciones y su enrevesada organización dan a los pueblos este aspecto tan singular , que será retomado más tarde por el americano ( estilo pueblo ) . ",Sing,nsubj,Fem,11,"Las formas cúbicas de las construciones y su enrevesada organización da a los pueblos este aspecto tan singular , que será retomado más tarde por el americano ( estilo pueblo ) . ",Plur
4030,pueblo,13,12,-1,12,"La forma cúbica de las construciones y su enrevesada organización dan a los pueblos este aspecto tan singular , que será retomado más tarde por el americano ( estilo pueblo ) . ",Plur,iobj,Masc,4,"La forma cúbica de las construciones y su enrevesada organización dan al pueblo este aspecto tan singular , que será retomado más tarde por el americano ( estilo pueblo ) . ",Sing
4030,aspecto,15,15,17,14,"La forma cúbica de las construciones y su enrevesada organización dan a los pueblos este aspecto tan singular , que será retomado más tarde por el americano ( estilo pueblo ) . ",Sing,obj,Masc,18,"La forma cúbica de las construciones y su enrevesada organización dan a los pueblos estos aspectos tan singular , que será retomado más tarde por el americano ( estilo pueblo ) . ",Plur
4031,trabajo,5,5,-1,4,"Es muy conocido por el trabajo que ha realizado como editor de la mayor parte de la obra de su padre y que ha ido publicando tras su muerte , como su albacea literario . ",Sing,obl,Masc,32,"Es muy conocido por los trabajos que ha realizado como editor de la mayor parte de la obra de su padre y que ha ido publicando tras su muerte , como su albacea literario . ",Plur
4037,isla,2,1,3,1,Es una isla continental que se encuentra en aguas poco profundas de la plataforma continental de la península de Arabia con arrecifes de coral que rodean tres de sus laterales . ,Sing,root,Fem,32,Son islas continental que se encuentra en aguas poco profundas de la plataforma continental de la península de Arabia con arrecifes de coral que rodean tres de sus laterales . ,Plur
4041,densidad,1,1,-1,0,"La densidad de población era de 122,61 hab . / km ² . ",Sing,nsubj,Fem,5,"Las densidades de población eran de 122,61 hab . / km ² . ",Plur
4042,siglo,2,2,-1,1,"En el siglo X fue elegida por el duque húngaro Gyula , de religión ortodoxa , como capital de su territorio . ",Sing,obl,Masc,5,"En los siglos X fue elegida por el duque húngaro Gyula , de religión ortodoxa , como capital de su territorio . ",Plur
4042,capital,17,17,-1,-1,"En el siglo X fue elegida por el duque húngaro Gyula , de religión ortodoxa , como capital de su territorio . ",Sing,obl,Fem,6,"En el siglo X fue elegida por el duque húngaro Gyula , de religión ortodoxa , como capitales de su territorio . ",Plur
4046,hecho,1,1,-1,-1,"De hecho , es precisamente la actividad constructiva la que permite la evolución de la inteligencia . ",Sing,nmod,Masc,4,"De hechos , es precisamente la actividad constructiva la que permite la evolución de la inteligencia . ",Plur
4046,actividad,6,6,7,5,"De hecho , es precisamente la actividad constructiva la que permite la evolución de la inteligencia . ",Sing,nsubj,Fem,4,"De hecho , son precisamente las actividades constructivas las que permite la evolución de la inteligencia . ",Plur
4046,evolución,12,12,-1,11,"De hecho , es precisamente la actividad constructiva la que permite la evolución de la inteligencia . ",Sing,obj,Fem,6,"De hecho , es precisamente la actividad constructiva la que permite las evoluciones de la inteligencia . ",Plur
4049,cazuelita,3,4,-1,-1,También dispone de cazuelitas . ,Plur,obl,Fem,3,También dispone de una cazuelita . ,Sing
4052,proceso,1,1,-1,0,Un proceso de iniciación lento y débil que alcanzó los índices de mayor contundencia y violencia en los últimos días . ,Sing,root,Masc,22,Unos procesos de iniciación lento y débil que alcanzó los índices de mayor contundencia y violencia en los últimos días . ,Plur
4060,mezcla,2,1,-1,1,Parece una mezcla entre las iglesia - salón y las basílicas . ,Sing,obj,Fem,11,Parece mezclas entre las iglesia - salón y las basílicas . ,Plur
4066,crítica,4,5,5,-1,El álbum ha recibido críticas positivas de mezcla de los críticos de la música comercial y debutó en el № 1 en el Billboard 200 . ,Plur,obj,Fem,3,El álbum ha recibido una crítica una positiva de mezcla de los críticos de la música comercial y debutó en el № 1 en el Billboard 200 . ,Sing
4066,mezcla,7,7,-1,-1,El álbum ha recibido críticas positivas de mezcla de los críticos de la música comercial y debutó en el № 1 en el Billboard 200 . ,Sing,obl,Fem,10,El álbum ha recibido críticas positivas de mezclas de los críticos de la música comercial y debutó en el № 1 en el Billboard 200 . ,Plur
4067,vez,2,3,-1,-1,Ganó dos veces el Campeonato Carioca con el Flamengo en 1991 y en 2004 . ,Plur,obl,Fem,3,Ganó dos una vez el Campeonato Carioca con el Flamengo en 1991 y en 2004 . ,Sing
4070,lago,1,1,-1,0,"El lago también es utilizado para la natación , la navegación de recreo y el esquí acuático . ",Sing,nsubj:pass,Masc,3,"Los lagos también es utilizado para la natación , la navegación de recreo y el esquí acuático . ",Plur
4070,natación,7,7,-1,6,"El lago también es utilizado para la natación , la navegación de recreo y el esquí acuático . ",Sing,obl,Fem,13,"El lago también es utilizado para las nataciones , la navegación de recreo y el esquí acuático . ",Plur
4072,libro,1,1,-1,0,El libro está escrito específicamente para ofrecer una segunda mirada sobre conceptos familiares bajo una interpretación moderna . ,Sing,nsubj,Masc,3,Los libros están escritos específicamente para ofrecer una segunda mirada sobre conceptos familiares bajo una interpretación moderna . ,Plur
4072,mirada,9,8,-1,7,El libro está escrito específicamente para ofrecer una segunda mirada sobre conceptos familiares bajo una interpretación moderna . ,Sing,obj,Fem,11,El libro está escrito específicamente para ofrecer segunda miradas sobre conceptos familiares bajo una interpretación moderna . ,Plur
4077,sitio,9,9,-1,8,"No concibo que en Google Maps no identifique ningun sitio con la palabra "" Covadonga "" . ",Sing,obj,Masc,9,"No concibo que en Google Maps no identifique ningun sitios con la palabra "" Covadonga "" . ",Plur
4079,arma,2,3,-1,-1,"Herramientas , armas , y varios materiales de construcción como mosaicos y placas decorativas consiguieron mayor dureza y durabilidad que sus predecesores en piedra o cobre calcopirítico . ",Plur,conj,Fem,3,"Herramientas , una arma , y varios materiales de construcción como mosaicos y placas decorativas consiguieron mayor dureza y durabilidad que sus predecesores en piedra o cobre calcopirítico . ",Sing
4079,material,6,6,-1,5,"Herramientas , armas , y varios materiales de construcción como mosaicos y placas decorativas consiguieron mayor dureza y durabilidad que sus predecesores en piedra o cobre calcopirítico . ",Plur,conj,Masc,12,"Herramientas , armas , y varios material de construcción como mosaicos y placas decorativas consiguieron mayor dureza y durabilidad que sus predecesores en piedra o cobre calcopirítico . ",Sing
4079,dureza,16,16,15,-1,"Herramientas , armas , y varios materiales de construcción como mosaicos y placas decorativas consiguieron mayor dureza y durabilidad que sus predecesores en piedra o cobre calcopirítico . ",Sing,obj,Fem,5,"Herramientas , armas , y varios materiales de construcción como mosaicos y placas decorativas consiguieron mayor durezas y durabilidad que sus predecesores en piedra o cobre calcopirítico . ",Plur
4079,predecesor,21,21,-1,20,"Herramientas , armas , y varios materiales de construcción como mosaicos y placas decorativas consiguieron mayor dureza y durabilidad que sus predecesores en piedra o cobre calcopirítico . ",Plur,conj,Masc,9,"Herramientas , armas , y varios materiales de construcción como mosaicos y placas decorativas consiguieron mayor dureza y durabilidad que su predecesor en piedra o cobre calcopirítico . ",Sing
4081,sector,1,1,-1,0,El sector tiene pocos cursos de aguas y se encuentra ubicado en una zona semidesértica . ,Sing,nsubj,Masc,3,Los sectores tienen pocos cursos de aguas y se encuentra ubicado en una zona semidesértica . ,Plur
4081,curso,4,4,-1,3,El sector tiene pocos cursos de aguas y se encuentra ubicado en una zona semidesértica . ,Plur,obj,Masc,5,El sector tiene poco curso de aguas y se encuentra ubicado en una zona semidesértica . ,Sing
4081,zona,13,12,14,12,El sector tiene pocos cursos de aguas y se encuentra ubicado en una zona semidesértica . ,Sing,obl,Fem,5,El sector tiene pocos cursos de aguas y se encuentra ubicado en zonas semidesérticas . ,Plur
4083,embargo,1,1,-1,-1,"Sin embargo existe otra versión que señala que Mulan sirvió de concubina para el Emperador Sui Yangdi , el cual reinó desde el año 604 hasta el 617 . ",Sing,fixed,Masc,2,"Sin embargos existe otra versión que señala que Mulan sirvió de concubina para el Emperador Sui Yangdi , el cual reinó desde el año 604 hasta el 617 . ",Plur
4084,colchoneta,14,15,-1,-1,"Ubicado en Palermo , en Mario Bravo y Honduras , en el teatro hay colchonetas y almohadones en el suelo para que los chicos se sienten cómodos y puedan gatear o caminar sin restricciones . ",Plur,obj,Fem,4,"Ubicado en Palermo , en Mario Bravo y Honduras , en el teatro hay una colchoneta y almohadones en el suelo para que los chicos se sienten cómodos y puedan gatear o caminar sin restricciones . ",Sing
4084,suelo,19,19,-1,18,"Ubicado en Palermo , en Mario Bravo y Honduras , en el teatro hay colchonetas y almohadones en el suelo para que los chicos se sienten cómodos y puedan gatear o caminar sin restricciones . ",Sing,obl,Masc,4,"Ubicado en Palermo , en Mario Bravo y Honduras , en el teatro hay colchonetas y almohadones en los suelos para que los chicos se sienten cómodos y puedan gatear o caminar sin restricciones . ",Plur
4084,chico,23,23,-1,22,"Ubicado en Palermo , en Mario Bravo y Honduras , en el teatro hay colchonetas y almohadones en el suelo para que los chicos se sienten cómodos y puedan gatear o caminar sin restricciones . ",Plur,nsubj,Masc,3,"Ubicado en Palermo , en Mario Bravo y Honduras , en el teatro hay colchonetas y almohadones en el suelo para que el chico se siente cómodos y puedan gatear o caminar sin restricciones . ",Sing
4084,restricción,33,34,-1,-1,"Ubicado en Palermo , en Mario Bravo y Honduras , en el teatro hay colchonetas y almohadones en el suelo para que los chicos se sienten cómodos y puedan gatear o caminar sin restricciones . ",Plur,obl,Fem,3,"Ubicado en Palermo , en Mario Bravo y Honduras , en el teatro hay colchonetas y almohadones en el suelo para que los chicos se sienten cómodos y puedan gatear o caminar sin una restricción . ",Sing
4085,región,5,4,4,3,Se encuentra en una fértil región a las orillas de los ríos Labe y Ohře . ,Sing,obl,Fem,5,Se encuentra en fértil regiones a las orillas de los ríos Labe y Ohře . ,Plur
4085,orilla,8,8,-1,7,Se encuentra en una fértil región a las orillas de los ríos Labe y Ohře . ,Plur,obl,Fem,10,Se encuentra en una fértil región a la orilla de los ríos Labe y Ohře . ,Sing
4086,cine,12,12,13,11,La película se estrenó el 19 de junio de 1998 en los cines estadounidenses . ,Plur,obl,Masc,5,La película se estrenó el 19 de junio de 1998 en el cin estadounidenses . ,Sing
4087,labor,4,4,5,3,"También destacó en su labor pedagógica , por la que se le ha considerado el profesor más estimulante de su tiempo . ",Sing,obl,Fem,20,"También destacó en sus labores pedagógicas , por la que se le ha considerado el profesor más estimulante de su tiempo . ",Plur
4088,archipiélago,5,4,-1,4,"Es la mayor de un archipiélago que , aparte de Cortegada , la mayor isla , cuenta con otros grupos de islas , como las Islas Malveiras o las Islas Briñas . ",Sing,nmod,Masc,4,"Es la mayor de archipiélagos que , aparte de Cortegada , la mayor isla , cuenta con otros grupos de islas , como las Islas Malveiras o las Islas Briñas . ",Plur
4092,precio,16,16,-1,-1,Estuvimos viendo diferentes fabricantes tanto nacionales como internacionales y finalmente nos decidimos por hisbalit tanto por precio como por estetica . ,Sing,obl,Masc,7,Estuvimos viendo diferentes fabricantes tanto nacionales como internacionales y finalmente nos decidimos por hisbalit tanto por precios como por estetica . ,Plur
4095,oeste,10,10,-1,9,Limita con los municipios de Castillejo de Iniesta por el oeste ; ,Sing,obl,Masc,4,Limita con los municipios de Castillejo de Iniesta por los oestes ; ,Plur
4097,inglés,7,7,-1,-1,"UPS utiliza lo que se conoce en inglés como Hub and Spoke distribution paradigm , un modelo radial mediante el cual la compañía opera unos centros que son el punto de entrada de los envíos y surten de paquetes a unos centros mayores denominados hubs , los cuales los clasifican y envían a su destino . ",Sing,obl,Masc,3,"UPS utiliza lo que se conoce en ingleses como Hub and Spoke distribution paradigm , un modelo radial mediante el cual la compañía opera unos centros que son el punto de entrada de los envíos y surten de paquetes a unos centros mayores denominados hubs , los cuales los clasifican y envían a su destino . ",Plur
4098,suerte,2,2,-1,1,Tuvimos la suerte de compartir con ella algunos momentos muy particulares . ,Sing,obj,Fem,11,Tuvimos las suertes de compartir con ella algunos momentos muy particulares . ,Plur
4103,contratación,1,1,-1,0,"La contratación será a jornada completa , de Lunes a Domingo , con los descansos establecidos por la ley y las tareas a desarrollar serán las propias para el desarrollo de las funciones propias de un socorrista , como son el salvamento acuático y primeros auxilios , así como también el control y vigilancia de la piscina y de las normas establecidas . ",Sing,nsubj,Fem,3,"Las contrataciones serán a jornada completa , de Lunes a Domingo , con los descansos establecidos por la ley y las tareas a desarrollar serán las propias para el desarrollo de las funciones propias de un socorrista , como son el salvamento acuático y primeros auxilios , así como también el control y vigilancia de la piscina y de las normas establecidas . ",Plur
4104,cabeza,3,3,-1,2,"Además de los cabezas de cartel , en Madrid completan el elenco Christina Rosenvige , los murcianos Second y los madrileños The Noises . ",Plur,obl,Fem,8,"Además de el cabeza de cartel , en Madrid completan el elenco Christina Rosenvige , los murcianos Second y los madrileños The Noises . ",Sing
4104,elenco,11,11,-1,10,"Además de los cabezas de cartel , en Madrid completan el elenco Christina Rosenvige , los murcianos Second y los madrileños The Noises . ",Sing,obj,Masc,3,"Además de los cabezas de cartel , en Madrid completan los elencos Christina Rosenvige , los murcianos Second y los madrileños The Noises . ",Plur
4112,vez,10,10,-1,-1,"También en 1983 , Doug E Fresh aparece por primera vez en el sencillo "" Pass the Budda "" con Spoonie Gee and DJ Spivey . ",Sing,obl,Fem,4,"También en 1983 , Doug E Fresh aparece por primera veces en el sencillo "" Pass the Budda "" con Spoonie Gee and DJ Spivey . ",Plur
4114,mes,3,3,-1,1,A los cinco meses me planteé volver a España y dejar el fútbol . ,Plur,obl,Masc,5,A el cinco mes me planteé volver a España y dejar el fútbol . ,Sing
4114,fútbol,12,12,-1,11,A los cinco meses me planteé volver a España y dejar el fútbol . ,Sing,obj,Masc,3,A los cinco meses me planteé volver a España y dejar los fútboles . ,Plur
4119,ciudad,1,1,-1,0,"La ciudad creció alrededor de un gran centro ceremonial con pirámides y el área urbana asociada , que incluía plazas y calles bordeando una serie de reservorios de agua pequeños y poco profundos . ",Sing,nsubj,Fem,3,"Las ciudades crecieron alrededor de un gran centro ceremonial con pirámides y el área urbana asociada , que incluía plazas y calles bordeando una serie de reservorios de agua pequeños y poco profundos . ",Plur
4119,centro,7,6,8,5,"La ciudad creció alrededor de un gran centro ceremonial con pirámides y el área urbana asociada , que incluía plazas y calles bordeando una serie de reservorios de agua pequeños y poco profundos . ",Sing,obl,Masc,31,"La ciudad creció alrededor de gran centros ceremonial con pirámides y el área urbana asociada , que incluía plazas y calles bordeando una serie de reservorios de agua pequeños y poco profundos . ",Plur
4120,territorio,6,6,7,5,Se publica diariamente para todo el territorio riojano . ,Sing,obl,Masc,6,Se publica diariamente para todos los territorios riojanos . ,Plur
